,Letter,City,Population,GoogleUrl,YandexUrl,WikiUrl,PicUrl,MapUrl,Latitude,Longitude,WikiSummary
0,а,Астрахань,529793,https://www.google.com/search?q=Астрахань,https://yandex.ru/search/?text=Астрахань,https://ru.wikipedia.org/wiki/Астрахань,https://upload.wikimedia.org/wikipedia/commons/4/4c/%D0%90%D1%81%D1%82%D1%80%D0%B0%D1%85%D0%B0%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B5%D0%BC%D0%BB%D1%8C.jpg,https://www.openstreetmap.org/search?query=Астрахань,46.34,48.04,"А́страхань — город России, административный центр Астраханской области. Старейший экономический и культурный центр Нижнего Поволжья и Прикаспия. Входит в перечень исторических городов России. Образует городской округ город Астрахань. Центр Астраханской городской агломерации.
Располагается в верхней части дельты реки Волги, на 11 островах Прикаспийской низменности. Расстояние до Москвы по автодороге составляет 1550 км. Город разделён на 4 административных района: Кировский, Советский, Ленинский и Трусовский. Население: 524 371 чел. (2021). Площадь: 208,70 км². В Астрахани проживают представители более 200 национальностей, 19 конфессий, действуют 170 обществ национальных культур."
1,а,Архангельск,346979,https://www.google.com/search?q=Архангельск,https://yandex.ru/search/?text=Архангельск,https://ru.wikipedia.org/wiki/Архангельск,https://upload.wikimedia.org/wikipedia/commons/3/3e/Arkhangelsk_view_from_Vysotka.jpg,https://www.openstreetmap.org/search?query=Архангельск,54.9,59.74,"Арха́нгельск — третий по численности город на Северо-Западе России после СПБ и Калининграда , в устье Северной Двины, в 30-35 километрах от впадения её в Белое море. Административный центр Архангельской области и Приморского муниципального района. Город областного значения, образует муниципальное образование город Архангельск со статусом городского округа.
Самый крупный город на севере европейской России (Архангельская, Мурманская, Вологодская области, республики Коми и Карелия). Население: 344 927 чел. (2021)."
2,а,Ангарск,224630,https://www.google.com/search?q=Ангарск,https://yandex.ru/search/?text=Ангарск,https://ru.wikipedia.org/wiki/Ангарск,https://upload.wikimedia.org/wikipedia/commons/c/c4/Angarsk_car_Volga_GAZ-21_%2825720495842%29.jpg,https://www.openstreetmap.org/search?query=Ангарск,52.53,103.88,"Анга́рск — город в Восточной Сибири, с прилегающими населёнными пунктами образует Ангарский городской округ.
Расположен в южной, наиболее освоенной и экономически развитой части Иркутской области.
Название города происходит от названия реки Ангары.
Неофициально город с момента основания называют — Город, рождённый Победой. В СМИ по отношению к Ангарску часто используется определение — Город нефтехимиков.
Экономической основой города являются крупные предприятия нефтепереработки, химической промышленности, атомной и строительной отрасли.
Ангарск — один из лучших по уровню благоустройства в Восточной Сибири: в 2003 году город занял второе место в конкурсе на самый благоустроенный город России, а в 2005 и 2008 — первое. В 2013 году по результатам конкурса среди муниципальных образований «Самый чистый город России», проводившегося в рамках Всероссийского политического проекта «Чистый город», Ангарск занял первое место в категории «Большие города»."
3,а,Армавир,188960,https://www.google.com/search?q=Армавир,https://yandex.ru/search/?text=Армавир,https://ru.wikipedia.org/wiki/Армавир_(город),https://upload.wikimedia.org/wikipedia/commons/b/b6/%D0%92%D0%BE%D0%BA%D0%B7%D0%B0%D0%BB_%D0%B2_%D0%90%D1%80%D0%BC%D0%B0%D0%B2%D0%B8%D1%80%D0%B5.jpg,https://www.openstreetmap.org/search?query=Армавир,44.98,41.12,"Армави́р — город на юге Российской Федерации, в Краснодарском крае. Расположен на востоке Краснодарского края, в 202 км от Краснодара и в 1400 км от Москвы. Вместе с пригородными сельскими округами образует муниципальное образование город Армавир.
Является важным железнодорожным узлом: в нём функционируют станции Армавир-Ростовский и Армавир-Туапсинский Северо-Кавказской железной дороги."
4,а,Абакан,186797,https://www.google.com/search?q=Абакан,https://yandex.ru/search/?text=Абакан,https://ru.wikipedia.org/wiki/Абакан,https://upload.wikimedia.org/wikipedia/commons/2/27/Abakan-.jpg,https://www.openstreetmap.org/search?query=Абакан,53.71,91.42,"Абака́н (хак. Ағбан) — город в России. Столица Хакасии. 
Составляет административно-территориальную единицу город республиканского значения, образует одноимённое муниципальное образование город Абакан со статусом городского округа как единственный населённый пункт в его составе.
Является политическим, промышленным, финансовым, научным и культурным центром Республики Хакасия, в котором проживает около 35 % населения республики, расположено большое количество финансово-кредитных, образовательных учреждений, а также учреждений культуры."
5,а,Альметьевск,158429,https://www.google.com/search?q=Альметьевск,https://yandex.ru/search/?text=Альметьевск,https://ru.wikipedia.org/wiki/Альметьевск,https://upload.wikimedia.org/wikipedia/commons/e/e6/Almetjewsk-Dramatheater-2006.jpg,https://www.openstreetmap.org/search?query=Альметьевск,54.88,52.33,"Альме́тьевск (тат. Әлмәт) — город (с 3 ноября 1953 г.) в Республике Татарстан Российской Федерации. Административный центр Альметьевского района. Образует муниципальное образование город Альметьевск со статусом городского поселения как единственный населённый пункт в его составе. Самый крупный город в полицентрической Альметьевско-Бугульминско-Лениногорской агломерации и центр ТПК Юго-Восточной экономической зоны республики, четвёртый по численности населения город Татарстана."
6,а,Артем,105675,https://www.google.com/search?q=Артем,https://yandex.ru/search/?text=Артем,https://ru.wikipedia.org/wiki/Артем_(город),https://upload.wikimedia.org/wikipedia/commons/5/53/%D0%90%D1%80%D1%82%D1%91%D0%BC_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4_%D0%BA%D0%BE%D0%BB%D0%BB%D0%B0%D0%B6.jpg,https://www.openstreetmap.org/search?query=Артем,43.36,132.19,"Артём — город в Приморском крае. Расположен в долине реки Кневичанки в 38 км к северо-востоку от центра Владивостока . Административный центр Артёмовского городского округа. Является частью Владивостокской агломерации.
Население в 2020 году — 104 926 человек (2021). Назван в честь Фёдора Андреевича Сергеева, более известного как «това́рищ Артём».
В прошлом — крупнейший центр Дальнего Востока по добыче угля (последняя шахта была закрыта в 2000 году). В настоящее время, город переживает новый этап производственного развития, связанный с открытием транспортно-логистических комплексов и новых промышленных производств, таких как сборка автомобилей (FAW), производство строительных материалов и бытовой химии («Восток — Поликор»), деревообработка, производство продуктов питания (колбасы, молочные изделия, рыбные консервы) и другие. Также активно развиваются фермерские хозяйства на сельских территориях городского округа. Отсутствие в Артёме участков ТОР «Надеждинская» снижает его конкурентоспособность.
Стоит на торговых путях из России и северо-восточного Китая в страны Азиатско-Тихоокеанского региона. Является одним из главных транспортных узлов Приморского края. Входит в Свободный порт Владивосток.
Имеет выход к Амурскому и Уссурийскому заливам Японского моря. Созданы: туристско-рекреационный кластер «Приморское кольцо», игорная зона «Приморье» и горнолыжный центр «Синяя сопка»."
7,а,Ачинск,105531,https://www.google.com/search?q=Ачинск,https://yandex.ru/search/?text=Ачинск,https://ru.wikipedia.org/wiki/Ачинск,https://upload.wikimedia.org/wikipedia/commons/2/2b/%D0%90%D1%87%D0%B8%D0%BD%D1%81%D0%BA.jpg,https://www.openstreetmap.org/search?query=Ачинск,56.2694,90.4993,"А́чинск — город в Красноярском крае России, административный центр Ачинского района и городского округа город Ачинск.
Третий по численности (105 531 чел. (2020)) населённый пункт в крае после Красноярска и Норильска, и 161-й по численности населения в России.
Расположен в 160 км к западу от Красноярска, на северных отрогах хребта Арга, на правом берегу реки Чулым (правый приток Оби), при пересечении его с Транссибирской железнодорожной магистралью (станция Ачинск I). Климат резко континентальный.
Глава города — Токарев Александр Юрьевич."
8,а,Арзамас,103979,https://www.google.com/search?q=Арзамас,https://yandex.ru/search/?text=Арзамас,https://ru.wikipedia.org/wiki/Арзамас,https://upload.wikimedia.org/wikipedia/commons/d/d7/Arzamas_Montage.jpg,https://www.openstreetmap.org/search?query=Арзамас,55.38,43.82,"Арзама́с — город (с 1578) в России, в Нижегородской области. Город областного значения, образует одноимённое муниципальное образование городской округ город Арзамас. Город находится в 112 км к югу от Нижнего Новгорода. Арзамас является единственным в Нижегородской области историческим поселением федерального значения.
Является центром Нижегородского правобережья. Основан, предположительно, в 1572 году как новый военный и административный центр для контроля земель на востоке от Мурома и юге от Нижнего Новгорода. Первым воеводой города в 1572 году был Никита Иванович Еропкин. В XVII веке гарнизон крепости принимал участие в подавлении восстания Степана Разина.С XVII века Арзамас приобретает значение важного транзитного пункта на пути из Москвы в юго-восточные районы страны, в это время формируется торгово-ремесленная часть города. В России Арзамас был знаменит местным сортом лука и породой гусей. Известен был Арзамас также выделкой кож и кожевенных изделий. Знаменитая арзамасская юфть вывозилась в Англию, Францию, Германию.
В 1954 году Арзамас становится областным центром, что даёт для города огромный потенциал для развития. Поэтому начинается бурное строительство инфраструктуры и промышленности. После ликвидации области город не снизил темп развития, и уже в 1982 году в нём проживало более 100 тысяч человек. 6 сентября 1978 года за успехи, достигнутые в хозяйственном, культурном строительстве, и в связи с 400-летием основания города награждён орденом «Знак Почёта»."
9,а,Анапа,88879,https://www.google.com/search?q=Анапа,https://yandex.ru/search/?text=Анапа,https://ru.wikipedia.org/wiki/Анапа,https://upload.wikimedia.org/wikipedia/commons/8/84/Anapa%27s_harbor_-_panoramio_-_Konstantin_K%C4%8D.jpg,https://www.openstreetmap.org/search?query=Анапа,44.89,37.32,"Ана́па — курортный город на юге России, расположен в Краснодарском крае, у побережья Чёрного моря. Город краевого подчинения и административный центр муниципального образования «Город-курорт Анапа». Климатический и бальнеологический курорт, преимущественно детский. В 2011 году присвоено звание «Город воинской славы»."
